make_model,body_type,km,gear_type,fuel_type,price
Opel Grandland X,Off-Road/Pick-up,10.0,Automatic,Electric/Gasoline,39420.0
Opel Zafira Tourer,Van,,Automatic,Gasoline,18750.0
Volkswagen Tiguan,Off-Road/Pick-up,192210.0,Manuel,,
Toyota Corolla,Station wagon,31291.0,Manuel,Electric/Gasoline,23340.0
Volkswagen Caddy,Transporter,217354.0,Manuel,Diesel,
Volkswagen Golf Variant,Station wagon,121047.0,Manuel,Gasoline,8250.0
Opel Insignia,Compact,30000.0,Manuel,Diesel,36950.0
Toyota Prius,Compact,224284.0,Automatic,Electric/Gasoline,6950.0
Toyota Corolla,Station wagon,17978.0,,Electric/Gasoline,22795.0
Volkswagen Golf,Station wagon,120000.0,Manuel,Gasoline,6850.0
Volkswagen Touareg,Off-Road/Pick-up,1966.0,Automatic,Electric/Gasoline,109950.0
Tesla Model S,Compact,5048.0,Automatic,Electric,84850.0
Toyota Auris,Station wagon,80913.0,Automatic,Electric/Gasoline,15290.0
Toyota iQ,Compact,141872.0,Automatic,Gasoline,5745.0
Volkswagen Passat Variant,Station wagon,109201.0,Automatic,Electric/Gasoline,19900.0
Opel None,Transporter,88020.0,Semi-automatic,Diesel,12040.0
Opel Astra,Compact,105754.0,Automatic,Gasoline,7950.0
Honda Jazz,Compact,33362.0,Manuel,Electric/Gasoline,13950.0
Honda Civic,Sedans,20676.0,Manuel,Gasoline,28950.0
Volkswagen Touran,Van,1099.0,Manuel,Gasoline,38495.0
Toyota Yaris,Compact,169559.0,Manuel,Gasoline,4795.0
Toyota C-HR,Off-Road/Pick-up,87734.0,,Electric/Gasoline,20950.0
Toyota Auris,Compact,118645.0,Automatic,,11701.0
Volkswagen Tiguan,Off-Road/Pick-up,153370.0,Semi-automatic,,14950.0
Volkswagen Golf Variant,Station wagon,112200.0,Manuel,Gasoline,12400.0
Toyota Verso,Van,159638.0,Manuel,Gasoline,10850.0
Toyota Hilux,Off-Road/Pick-up,250.0,Automatic,Diesel,36845.0
Volkswagen Golf,Station wagon,138426.0,Manuel,Gasoline,7250.0
Volkswagen Golf,Station wagon,173000.0,Automatic,Gasoline,16500.0
Volkswagen Golf Sportsvan,Van,28765.0,Manuel,Gasoline,21950.0
Opel Mokka X,Off-Road/Pick-up,44145.0,Semi-automatic,Gasoline,17750.0
Toyota Yaris,Compact,30300.0,Automatic,Gasoline,15395.0
Volkswagen Passat CC,Sedans,79570.0,Manuel,Gasoline,11000.0
Opel Zafira Tourer,Van,58739.0,Automatic,Gasoline,16999.0
Volkswagen Polo,Compact,132784.0,Manuel,Gasoline,8900.0
Volkswagen Golf,Compact,28456.0,Automatic,Electric,15950.0
Opel Mokka-E,Off-Road/Pick-up,15.0,Manuel,Electric,37395.0
Opel Corsa,Convertible,124999.0,Automatic,Gasoline,5450.0
Volkswagen Transporter,,,Manuel,Diesel,16495.0
Volkswagen Passat Variant,Station wagon,105000.0,Manuel,,15750.0
Opel Vivaro,Transporter,131987.0,Semi-automatic,Diesel,9250.0
Opel Corsa,Van,103150.0,Manuel,Gasoline,5250.0
Volkswagen up!,Compact,13191.0,Automatic,Electric,18970.0
Opel Astra,Van,92730.0,Automatic,Gasoline,10499.0
Volkswagen Golf Sportsvan,Van,79928.0,Automatic,Gasoline,15900.0
Opel Corsa,Compact,1.0,Automatic,Electric,36694.0
Toyota Verso-S,Van,43319.0,Automatic,Gasoline,14999.0
Volkswagen Golf Sportsvan,Van,20645.0,,Gasoline,24750.0
Volkswagen Golf,Compact,197022.0,Semi-automatic,Diesel,16950.0
Toyota RAV 4,Off-Road/Pick-up,,Manuel,Gasoline,41835.0
Opel Insignia,,212601.0,Manuel,Diesel,7950.0
Opel Astra,Compact,184007.0,Manuel,,4490.0
Volkswagen Transporter,Transporter,268896.0,Automatic,Diesel,10995.0
Toyota Avensis,Van,158600.0,Manuel,Gasoline,7950.0
Volkswagen Tiguan,,119305.0,Manuel,Gasoline,13750.0
Opel Grandland X,Off-Road/Pick-up,42.0,Manuel,,29945.0
Toyota Auris,Compact,91870.0,Automatic,Electric/Gasoline,9450.0
